c3,year,id,country,c2,gini,ge0,ge1,ge2,a025,a050,a075,a1,a2,palma,ratio_top20bottom20,bottom40,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,region_wb,eu,oecd,incomegroup,mean,median,currency,reference_period,exchangerate,mean_usd,median_usd,gdp,population,revision,quality,quality_score,source,source_detailed,source_comments,survey,link,pop_share,inc_share,w_ge0,w_ge1,w_ge2,w_a050,w_a1,b_ge0,b_ge1,b_ge2,b_a050,b_a1,wiidcompanion,resource_pref,scale_pref,quality_pref,shares_nonnull,rank_key
BDI,2021,2960,Burundi,BI,37.46,,,,,,,,,1.6400000000000001,6.38,18.23,7.0600000000000005,11.17,15.34,21.39,45.04,2.88,4.18,5.09,6.08,7.1000000000000005,8.24,9.68,11.72,15.17,29.86,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Low income,855.0,655.0,US$2021PPP,Year,,,,837.0,12965481.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 1999-2021,EICVMB,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
BEL,2023,1873,Belgium,BE,26.42,1246.75,1398.27,2444.03,328.04,624.35,902.11,1172.16,2563.62,0.93,3.86,23.89,9.38,14.51,17.900000000000002,22.05,36.160000000000004,3.7600000000000002,5.62,6.76,7.76,8.52,9.38,10.33,11.73,13.9,22.26,1.55,13.91,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Western Europe,Europe and Central Asia,EU,OECD,High income,21289.0,19010.0,Euro,Year,0.02988956031634812,,,64186.0,11712893.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,No,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
BEN,2022,1898,Benin,BJ,34.4,0.46,0.45,0.78,,0.2,,0.37,0.63,1.3900000000000001,5.5600000000000005,19.53,7.62,11.91,16.06,22.09,42.33,3.11,4.5200000000000005,5.48,6.43,7.43,8.63,10.11,11.97,15.17,27.16,,32.0,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,1831.0,1461.0,US$2021PPP,Year,,,,3588.0,13759501.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2019-2022,EHCVM,https://pip.worldbank.org/,1.0,1.0,0.382,0.38,0.709,0.17500000000000002,0.326,0.074,0.07200000000000001,0.07200000000000001,0.032,0.059000000000000004,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
BFA,2022,2955,Burkina Faso,BF,37.39,,,,,,,,,1.6300000000000001,6.23,18.47,7.2700000000000005,11.200000000000001,15.120000000000001,21.09,45.32,3.0300000000000002,4.24,5.17,6.03,7.0200000000000005,8.1,9.48,11.61,15.14,30.18,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Low income,1510.0,1139.0,US$2021PPP,Year,0.001695053804581562,,,2466.0,22509038.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2018-2021,EHCVM,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
BGD,2022,1273,Bangladesh,BD,49.9,,,,,,,,,3.18,13.32,12.870000000000001,4.17,8.700000000000001,12.73,18.85,55.54,1.31,2.86,3.88,4.82,5.8100000000000005,6.92,8.36,10.49,14.620000000000001,40.92,0.37,30.04,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,32422.0,1745.0,Bangladeshi taka,Month,0.015545457053926024,,,7888.0,169384896.0,New 2023,High,10,National statistical authority,Bangladesh Bureau of Statistics,Series 2000-2022,Household Income and Expenditure Survey (HIES),https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b343a8b4_956b_45ca_872f_4cf9b2f1a6e0/2023-06-25-15-38-202e9c9b8eed1a7d9d7f08c30090164d.pdf,,,,,,,,,,,,,Yes,2.0,0.0,3.0,15,"(3.0, 2.0, 0.0, 15)"
BGR,2023,2936,Bulgaria,BG,38.2,2673.26,2906.92,5611.63,675.12,1272.06,1820.99,2345.77,4609.96,1.69,7.3100000000000005,17.85,6.16,11.69,15.64,21.44,45.07,2.06,4.1,5.34,6.3500000000000005,7.23,8.41,9.790000000000001,11.65,14.98,30.1,0.68,19.900000000000002,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,EU,Non-OECD,High income,5677.0,4424.0,Euro,Year,0.747877896468768,857.0,,33403.0,6795803.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
BHR,2015,1207,Bahrain,BH,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Middle East and North Africa,Non-EU,Non-OECD,High income,,,,,,,,54150.0,1369650.0,New 2019,Average,11,National statistical authority,Information and eGovernment Authority (IGA),,Household Expenditure and Income Survey,http://www.data.gov.bh/en/ResourceCenter/DownloadFile?id=2484,,,,,,,,,,,,,Yes,2.0,2.0,2.0,0,"(2.0, 2.0, 2.0, 0)"
BHS,2013,1206,"Bahamas, The",BS,41.4,,,,,,,,,1.97,8.07,15.9,5.8,10.1,14.8,21.7,46.800000000000004,2.2,3.6,4.6000000000000005,5.5,6.7,8.1,9.8,11.9,15.4,31.400000000000002,,24.400000000000002,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Americas,Caribbean,Latin America and the Caribbean,Non-EU,Non-OECD,High income,13084.0,9550.0,Bahamian dollar,Year,1.0,10111.0,6989.0,31922.0,378953.0,New 2019,High,13,National statistical authority,Bahamas Department of Statistics,Labour Force and Household Income Report,Household Expenditure Survey,https://www.bahamas.gov.bs/wps/wcm/connect/5312dd47-5cd9-45f5-bf6c-dea99f3a6226/Bahamas+Household+Expenditure+Survey+2013+Report_v2.pdf?MOD=AJPERES,,,,,,,,,,,,,Yes,1.0,2.0,3.0,15,"(3.0, 1.0, 2.0, 15)"
BIH,2011,2144,Bosnia and Herzegovina,BA,33.03,,,,,,,,,1.27,5.45,19.76,7.46,12.3,16.67,22.900000000000002,40.68,2.94,4.5200000000000005,5.63,6.67,7.73,8.94,10.48,12.41,15.540000000000001,25.14,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,7732.0,6424.0,US$2021PPP,Year,,,,12660.0,3741798.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2007-2011,HBS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
BLR,2020,1373,Belarus,BY,24.38,,,,,,,,,0.8300000000000001,3.37,24.830000000000002,10.3,14.530000000000001,17.96,22.46,34.75,4.45,5.8500000000000005,6.8500000000000005,7.67,8.49,9.47,10.53,11.93,14.030000000000001,20.72,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,7032.0,6292.0,US$2021PPP,Year,0.214456416666667,32.0,,26731.0,9350944.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 1998-2020,HHS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
BLZ,1999,1887,Belize,BZ,53.230000000000004,,,,,,,,,3.88,17.85,10.92,3.23,7.69,12.0,19.41,57.67,0.9500000000000001,2.2800000000000002,3.4,4.29,5.34,6.66,8.46,10.950000000000001,15.25,42.42,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,Central America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,2836.0,1683.0,US$2021PPP,Year,,,,10451.0,233059.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 1993-1999,LFS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,2.0,2.0,2.0,15,"(2.0, 2.0, 2.0, 15)"
BOL,2021,2085,Bolivia,BO,40.910000000000004,30.18,29.400000000000002,40.71,,13.75,,26.05,48.54,1.94,8.86,15.63,5.2700000000000005,10.36,15.280000000000001,22.400000000000002,46.7,1.77,3.5,4.62,5.74,6.94,8.34,9.97,12.43,16.42,30.28,,35.7,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Lower middle income,1648.0,5443.0,Local currency unit,Year,0.14245014245014245,,,9454.0,11937360.0,New 2025,High,11,SEDLAC,SEDLAC,New series,EH,https://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2024_inequality_LAC.xlsx,1.0,1.0,0.289,0.28,0.396,0.129,0.23900000000000002,0.017,0.015,0.014,0.011,0.032,No,2.0,2.0,3.0,15,"(3.0, 2.0, 2.0, 15)"
BRA,2023,2641,Brazil,BR,51.5,42.37,52.0,98.76,10.3,21.5,27.29,36.4,58.26,3.5300000000000002,14.77,11.6,3.83,7.7700000000000005,12.6,19.23,56.56,1.29,2.54,3.43,4.34,5.6000000000000005,7.0,8.35,10.88,15.620000000000001,40.94,0.43,24.97,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,6029.0,4129.0,US$2021PPP,Year,0.5001429975988687,,,19018.0,211140736.0,New 2025,High,11,United Nations,ECLAC,New series,National Continuous Household Sample Survey (PNADC),https://estadisticas.cepal.org/cepalstat/WEB_CEPALSTAT/estadisticasIndicadores.asp?idioma=i,1.0,1.0,0.47400000000000003,0.501,1.067,0.215,0.379,0.024,0.022,0.02,0.011,0.022,No,2.0,2.0,3.0,15,"(3.0, 2.0, 2.0, 15)"
BRB,2017,1307,Barbados,BB,32.0,,,,,,,,,3.0700000000000003,12.77,13.0,4.3,8.700000000000001,12.6,19.400000000000002,54.9,1.4000000000000001,2.9,3.9,4.8,5.7,6.9,8.4,11.0,15.0,39.9,,17.0,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Americas,Caribbean,Latin America and the Caribbean,Non-EU,Non-OECD,High income,2700.0,,Barbadian dollar,Year,0.5,,,18740.0,280171.0,New 2019,Average,11,Other international organizations,Inter-American Development Bank,World Bank. Compilation,Survey of Living Conditions (SLC),https://publications.iadb.org/publications/english/document/Barbados-Survey-of-Living-Conditions-2016.zip,,,,,,,,,,,,,Yes,1.0,2.0,2.0,0,"(2.0, 1.0, 2.0, 0)"
BRN,1981,2644,Brunei,BN,56.4,,,,,,,,,4.98,20.580000000000002,9.700000000000001,3.1,6.6000000000000005,9.9,16.6,63.800000000000004,0.8,2.3000000000000003,2.5,4.1,4.5,5.4,7.4,9.200000000000001,15.5,48.300000000000004,,,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Family,Household,All,All,All,All,Asia,South-eastern Asia,East Asia and the Pacific,Non-EU,Non-OECD,High income,,,,,,,,320846.0,191977.0,New 2019,Average,13,United Nations,International Labour Organization,Duraman 1990; Arief 1986,,http://www.ilo.org/public/libdoc/ilo/1996/96B09_403_engl.pdf,,,,,,,,,,,,,No,2.0,0.0,2.0,15,"(2.0, 2.0, 0.0, 15)"
BTN,2022,1903,Bhutan,BT,28.46,,,,,,,,,1.02,4.24,22.27,8.81,13.46,17.63,22.76,37.33,3.63,5.18,6.21,7.25,8.290000000000001,9.34,10.6,12.16,14.63,22.7,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,5752.0,5060.0,US$2021PPP,Year,,,,14061.0,780914.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2007-2022,BLSS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
BWA,2016,2162,Botswana,BW,53.33,,,,,,,,,3.79,14.81,10.950000000000001,3.95,7.0,11.09,19.46,58.5,1.53,2.42,3.1,3.91,4.86,6.23,8.16,11.31,17.02,41.47,,28.1,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Southern Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Upper middle income,3220.0,1768.0,US$2021PPP,Year,0.14719718900764212,,,16906.0,2234776.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2003-2016,BMTHS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
CAF,2021,3806,Central African Republic,CF,43.03,0.55,0.75,3.6,,0.27,,0.42,0.61,2.17,8.84,15.280000000000001,5.57,9.71,14.09,21.400000000000002,49.230000000000004,2.14,3.42,4.39,5.32,6.38,7.71,9.46,11.94,16.09,33.14,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Low income,818.0,572.0,US$2021PPP,Year,0.0037779787555350356,,,1129.0,5112100.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),,EHCVM,https://pip.worldbank.org/,1.0,1.0,0.526,0.735,3.579,0.261,0.40900000000000003,0.02,0.019,0.019,0.009000000000000001,0.019,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
CAN,2021,3787,Canada,CA,28.8,15.51,15.9,21.29,3.84,7.46,10.94,14.370000000000001,30.98,1.1,4.5600000000000005,21.67,8.45,13.21,17.28,22.52,38.54,3.39,5.0600000000000005,6.13,7.08,8.08,9.19,10.44,12.08,14.74,23.8,1.34,14.59,Income (net),"Income, net",Equivalized,OECD-modified,Household,Person,All,All,All,All,Americas,Northern America,North America,Non-EU,OECD,High income,25130.0,21691.0,US$2021PPP,Year,0.673350795563965,,,55782.0,38454060.0,New 2023,High,11,National statistical authority,Statistics Canada,Own construction based on LIS Database through LISSY,Survey of Labour and Income Dynamics (SLID),https://www150.statcan.gc.ca/t1/tbl1/en/cv.action?pid=1110019301,,,,,,,,,,,,,No,4.0,1.0,3.0,0,"(3.0, 4.0, 1.0, 0)"
CHE,2023,23006,Switzerland,CH,31.5,1991.96,2287.19,5435.62,526.6800000000001,987.83,1408.64,1806.1100000000001,3600.13,1.21,4.96,21.1,8.0,13.1,17.2,22.1,39.7,3.1,4.9,6.0,7.0,8.1,9.1,10.3,11.8,14.200000000000001,25.5,1.0,16.8,Income (net),"Income, net",Equivalized,OECD-modified,Household,Person,All,All,All,All,Europe,Western Europe,Europe and Central Asia,Non-EU,OECD,High income,57656.0,49328.0,Euro,Year,0.6415983498090443,,,82558.0,8870561.0,New 2025,High,13,Eurostat,Eurostat Data browser,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,No,4.0,1.0,3.0,15,"(3.0, 4.0, 1.0, 15)"
CHL,2022,4115,Chile,CL,42.96,31.16,35.62,65.68,10.82,15.27,27.17,26.77,45.74,2.18,8.44,15.85,5.91,9.94,13.99,20.28,49.89,2.31,3.6,4.5200000000000005,5.42,6.42,7.57,9.040000000000001,11.24,15.4,34.49,0.64,27.46,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,552082.0,7294.0,Local currency unit,Year,0.001965498941906402,,,29557.0,19553036.0,New 2025,High,11,SEDLAC,SEDLAC,New Income Methodology,CASEN,https://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2024_inequality_LAC.xlsx,1.0,1.0,0.329,0.398,2.269,0.162,0.281,0.002,0.001,0.001,0.001,0.001,No,2.0,2.0,3.0,15,"(3.0, 2.0, 2.0, 15)"
CHN,2023,4469,China,CN,46.5,37.85,34.1,48.89,8.290000000000001,16.19,23.87,31.51,65.92,1.5,10.32,14.32,4.45,9.870000000000001,15.540000000000001,24.25,45.89,3.16,4.25,5.23,6.21,7.25,8.45,9.93,11.950000000000001,15.32,28.240000000000002,0.42,19.79,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Eastern Asia,East Asia and the Pacific,Non-EU,Non-OECD,Upper middle income,39218.0,4383.0,Chinese yuan,Year,0.1505009160491481,,,22138.0,1422584832.0,New 2025,High,11,National statistical authority,National Bureau of Statistics of China,Series 2013-2021,CNIHS,http://www.stats.gov.cn/sj/ndsj/2024/indexeh.htm,,,,,,,,,,,,,Yes,4.0,2.0,3.0,5,"(3.0, 4.0, 2.0, 5)"
CIV,2022,5298,Cote d'Ivoire,CI,35.28,79.88,80.38,279.02,17.72,31.93,44.050000000000004,55.01,87.63,1.45,5.73,19.19,7.5600000000000005,11.63,15.67,21.8,43.34,3.15,4.41,5.36,6.28,7.2700000000000005,8.4,9.83,11.97,15.5,27.84,0.05,35.61,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,2022.0,1583.0,US$2021PPP,Year,0.0022331135858325965,,,6262.0,30395002.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2018-2021,EHCVM,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
CMR,2022,2986,Cameroon,CM,42.18,,,,,,,,,2.08,8.870000000000001,14.950000000000001,5.4,9.55,14.69,22.46,47.89,2.13,3.2800000000000002,4.22,5.33,6.6000000000000005,8.1,9.94,12.51,16.75,31.150000000000002,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,1961.0,1427.0,US$2021PPP,Year,0.0020865205691934833,,,4844.0,27632772.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2001-2014,ECAM-V,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
